Stock Name,Ticker,Market,Previous Price,Current Price,Price Change (%),Decision
IPG Photonics Corp,IPGP,US,68.4800033569336,68.6500015258789,0.25,HOLD
Coherent Corp,COHR,US,80.95999908447266,89.20999908447266,10.19,SELL $10
ON Semiconductor,ON,US,54.209999084472656,52.40999984741211,-3.32,HOLD
Skyworks Solutions,SWKS,US,73.41999816894531,74.5199966430664,1.5,HOLD
Lattice Semiconductor,LSCC,US,51.150001525878906,48.9900016784668,-4.22,HOLD
Enphase Energy,ENPH,US,38.380001068115234,39.650001525878906,3.31,HOLD
SolarEdge Technologies,SEDG,US,18.93000030517578,20.399999618530273,7.77,HOLD
First Solar Inc,FSLR,US,151.17999267578125,165.5399932861328,9.5,HOLD
Array Technologies,ARRY,US,6.369999885559082,5.900000095367432,-7.38,BUY $5
Brookfield Renewable,BEPC,US,32.65999984741211,32.779998779296875,0.37,HOLD
NextEra Energy Partners,NEP,US,,,,No Data
Clearway Energy Inc,CWEN,US,32.040000915527344,32.0,-0.12,HOLD
Xcel Energy Inc,XEL,US,68.2300033569336,68.0999984741211,-0.19,HOLD
Atmos Energy Corp,ATO,US,156.44000244140625,154.11000061035156,-1.49,HOLD
Essential Utilities,WTRG,US,37.86000061035156,37.13999938964844,-1.9,HOLD
American Water Works,AWK,US,142.17999267578125,139.11000061035156,-2.16,HOLD
Eversource Energy,ES,US,63.84000015258789,63.619998931884766,-0.34,HOLD
Alliant Energy Corp,LNT,US,61.15999984741211,60.470001220703125,-1.13,HOLD
CMS Energy Corporation,CMS,US,69.70999908447266,69.27999877929688,-0.62,HOLD
IDACORP Inc,IDA,US,115.04000091552734,115.44999694824219,0.36,HOLD
Pinnacle West Capital,PNW,US,90.16999816894531,89.47000122070312,-0.78,HOLD
WEC Energy Group,WEC,US,105.36000061035156,104.19999694824219,-1.1,HOLD
Avista Corp,AVA,US,38.040000915527344,37.95000076293945,-0.24,HOLD
UGI Corporation,UGI,US,36.4900016784668,36.41999816894531,-0.19,HOLD
NorthWestern Corp,NWE,US,51.970001220703125,51.29999923706055,-1.29,HOLD
New Jersey Resources,NJR,US,45.130001068115234,44.81999969482422,-0.69,HOLD
NiSource Inc,NI,US,40.52000045776367,40.34000015258789,-0.44,HOLD
Spire Inc,SR,US,74.5,72.98999786376953,-2.03,HOLD
